seed,feature_group,epoch,loss,validation_loss,origin_month
707,full,24,0.027731120586395264,0.03901118412613869,2023-11-01
707,full,25,0.027601802721619606,0.03978642076253891,2023-11-01
707,full,26,0.02735893614590168,0.038167715072631836,2023-11-01
707,full,27,0.027124257758259773,0.039436616003513336,2023-11-01
707,full,28,0.027232011780142784,0.037785854190588,2023-11-01
707,full,29,0.02680337242782116,0.038445133715867996,2023-11-01
707,full,30,0.026293180882930756,0.0376826710999012,2023-11-01
707,full,31,0.026094749569892883,0.03690169006586075,2023-11-01
707,full,32,0.026137378066778183,0.03842063620686531,2023-11-01
707,full,33,0.02536487765610218,0.03784841299057007,2023-11-01
707,full,34,0.024966096505522728,0.0379335843026638,2023-11-01
707,full,35,0.0245780348777771,0.0381726510822773,2023-11-01
707,full,36,0.024974219501018524,0.03709853067994118,2023-11-01
707,full,37,0.024935748428106308,0.03776569291949272,2023-11-01
707,full,38,0.02449428290128708,0.0379246361553669,2023-11-01
707,full,39,0.02406366355717182,0.038633961230516434,2023-11-01
707,full,40,0.023708466440439224,0.03823167830705643,2023-11-01
707,full,41,0.023634739220142365,0.03805215284228325,2023-11-01
707,full,42,0.02338665910065174,0.03811154142022133,2023-11-01
707,full,43,0.022999951615929604,0.037211041897535324,2023-11-01
17,full,1,0.09398625046014786,0.06901582330465317,2023-12-01
17,full,2,0.05549677088856697,0.051582206040620804,2023-12-01
17,full,3,0.04687159135937691,0.045704495161771774,2023-12-01
17,full,4,0.042645253241062164,0.04298980534076691,2023-12-01
17,full,5,0.04003234952688217,0.042225182056427,2023-12-01
17,full,6,0.038778357207775116,0.04136139154434204,2023-12-01
17,full,7,0.03743800148367882,0.03996109589934349,2023-12-01
17,full,8,0.036642614752054214,0.039203256368637085,2023-12-01
17,full,9,0.03557222709059715,0.03855955973267555,2023-12-01
17,full,10,0.03469808027148247,0.037833478301763535,2023-12-01
17,full,11,0.034703031182289124,0.03698202967643738,2023-12-01
17,full,12,0.03350741043686867,0.03683813288807869,2023-12-01
17,full,13,0.03286067023873329,0.03663555160164833,2023-12-01
17,full,14,0.032680101692676544,0.0359160341322422,2023-12-01
17,full,15,0.03185226395726204,0.0357612706720829,2023-12-01
17,full,16,0.031646110117435455,0.03504128009080887,2023-12-01
17,full,17,0.031318046152591705,0.03463200479745865,2023-12-01
17,full,18,0.030826542526483536,0.03490206226706505,2023-12-01
17,full,19,0.03074001520872116,0.03453296050429344,2023-12-01
17,full,20,0.02980905957520008,0.035064540803432465,2023-12-01
17,full,21,0.029466409236192703,0.034448426216840744,2023-12-01
17,full,22,0.028699172660708427,0.03438197448849678,2023-12-01
17,full,23,0.028702164068818092,0.0346699059009552,2023-12-01
17,full,24,0.028475310653448105,0.034542541950941086,2023-12-01
17,full,25,0.02802487462759018,0.0342136025428772,2023-12-01
17,full,26,0.027860581874847412,0.03467420116066933,2023-12-01
17,full,27,0.027202047407627106,0.0343228355050087,2023-12-01
17,full,28,0.02671435847878456,0.03528295084834099,2023-12-01
17,full,29,0.02650219015777111,0.03544387221336365,2023-12-01
17,full,30,0.026560617610812187,0.034470394253730774,2023-12-01
17,full,31,0.025969604030251503,0.03490455448627472,2023-12-01
17,full,32,0.025977548211812973,0.036042772233486176,2023-12-01
17,full,33,0.025666164234280586,0.035517122596502304,2023-12-01
17,full,34,0.025348873808979988,0.03500982001423836,2023-12-01
17,full,35,0.025423863902688026,0.03543827682733536,2023-12-01
17,full,36,0.024988774210214615,0.0362706333398819,2023-12-01
17,full,37,0.024583717808127403,0.03451621159911156,2023-12-01
42,full,1,0.09957456588745117,0.06169812008738518,2023-12-01
42,full,2,0.05759598687291145,0.04753187298774719,2023-12-01
42,full,3,0.04734441265463829,0.04321466013789177,2023-12-01
42,full,4,0.04318659380078316,0.04128009080886841,2023-12-01
42,full,5,0.04136954993009567,0.04024207964539528,2023-12-01
42,full,6,0.039499737322330475,0.03889056667685509,2023-12-01
42,full,7,0.03852669894695282,0.038745198398828506,2023-12-01
42,full,8,0.0373372845351696,0.03871419280767441,2023-12-01
42,full,9,0.03622489795088768,0.037823084741830826,2023-12-01
42,full,10,0.03538166731595993,0.037303224205970764,2023-12-01
42,full,11,0.034658536314964294,0.03636622428894043,2023-12-01
42,full,12,0.03429761156439781,0.0368475504219532,2023-12-01
42,full,13,0.033834170550107956,0.03704707697033882,2023-12-01
42,full,14,0.03301302343606949,0.036916717886924744,2023-12-01
42,full,15,0.032592762261629105,0.03624822199344635,2023-12-01
42,full,16,0.031955935060977936,0.03689495474100113,2023-12-01
42,full,17,0.031126130372285843,0.03489811718463898,2023-12-01
42,full,18,0.0305878184735775,0.03463898226618767,2023-12-01
42,full,19,0.02996327541768551,0.03385749086737633,2023-12-01
42,full,20,0.029178539291024208,0.03400693088769913,2023-12-01
42,full,21,0.02913348749279976,0.034262869507074356,2023-12-01
42,full,22,0.028612855821847916,0.03424297273159027,2023-12-01
42,full,23,0.028504712507128716,0.033568982034921646,2023-12-01
42,full,24,0.027665086090564728,0.033008601516485214,2023-12-01
42,full,25,0.02780112810432911,0.03370289131999016,2023-12-01
42,full,26,0.027616797015070915,0.0337492860853672,2023-12-01
42,full,27,0.026988795027136803,0.035080838948488235,2023-12-01
42,full,28,0.027248989790678024,0.03269701078534126,2023-12-01
42,full,29,0.026560761034488678,0.03246213123202324,2023-12-01
42,full,30,0.02605518326163292,0.03267602249979973,2023-12-01
42,full,31,0.025765949860215187,0.03256421163678169,2023-12-01
42,full,32,0.025285629555583,0.032014161348342896,2023-12-01
42,full,33,0.025563891977071762,0.03283332288265228,2023-12-01
42,full,34,0.025249922648072243,0.034607212990522385,2023-12-01
42,full,35,0.024732351303100586,0.03238322213292122,2023-12-01
42,full,36,0.02490040846168995,0.03284986689686775,2023-12-01
42,full,37,0.024198470637202263,0.03265724331140518,2023-12-01
42,full,38,0.023924924433231354,0.031927552074193954,2023-12-01
42,full,39,0.02411186322569847,0.03212103247642517,2023-12-01
42,full,40,0.024128105491399765,0.031829576939344406,2023-12-01
42,full,41,0.02387923002243042,0.03260631486773491,2023-12-01
42,full,42,0.02327563241124153,0.03220359981060028,2023-12-01
42,full,43,0.02336106263101101,0.03158877417445183,2023-12-01
42,full,44,0.022918254137039185,0.03209250047802925,2023-12-01
42,full,45,0.023008618503808975,0.031795304268598557,2023-12-01
42,full,46,0.02264120802283287,0.03155450522899628,2023-12-01
42,full,47,0.02257949486374855,0.03206644952297211,2023-12-01
42,full,48,0.022422699257731438,0.03157481551170349,2023-12-01
42,full,49,0.022421211004257202,0.03166018798947334,2023-12-01
42,full,50,0.021984633058309555,0.03326066955924034,2023-12-01
42,full,51,0.02213943749666214,0.03222237527370453,2023-12-01
42,full,52,0.021633166819810867,0.03282424435019493,2023-12-01
42,full,53,0.021535130217671394,0.0315164253115654,2023-12-01
42,full,54,0.021585889160633087,0.03175802901387215,2023-12-01
42,full,55,0.02132587879896164,0.03175600245594978,2023-12-01
42,full,56,0.021234920248389244,0.03228810429573059,2023-12-01
42,full,57,0.02092716656625271,0.031909771263599396,2023-12-01
42,full,58,0.021042905747890472,0.03213762491941452,2023-12-01
42,full,59,0.021136095747351646,0.03191746771335602,2023-12-01
42,full,60,0.020978117361664772,0.03239870071411133,2023-12-01
42,full,61,0.020795470103621483,0.031613368541002274,2023-12-01
42,full,62,0.020596440881490707,0.03187667205929756,2023-12-01
42,full,63,0.0207586120814085,0.032214242964982986,2023-12-01
42,full,64,0.020349273458123207,0.033123183995485306,2023-12-01
42,full,65,0.02070542238652706,0.03291555494070053,2023-12-01
101,full,1,0.10388314723968506,0.07174090296030045,2023-12-01
101,full,2,0.0573270320892334,0.052529167383909225,2023-12-01
101,full,3,0.046761658042669296,0.04515482857823372,2023-12-01
101,full,4,0.043159570544958115,0.043148916214704514,2023-12-01
101,full,5,0.04090506210923195,0.04220472648739815,2023-12-01
101,full,6,0.03904731571674347,0.04103840887546539,2023-12-01
101,full,7,0.03725992143154144,0.041360024362802505,2023-12-01
101,full,8,0.036203160881996155,0.04059917852282524,2023-12-01
101,full,9,0.035178378224372864,0.04002826288342476,2023-12-01
101,full,10,0.034556034952402115,0.03877750411629677,2023-12-01
101,full,11,0.03384363651275635,0.039015449583530426,2023-12-01
101,full,12,0.033439405262470245,0.03804481402039528,2023-12-01
101,full,13,0.03262997046113014,0.03814259171485901,2023-12-01
101,full,14,0.032303981482982635,0.03787011280655861,2023-12-01
101,full,15,0.03203847259283066,0.036697983741760254,2023-12-01
101,full,16,0.03144293278455734,0.03682558611035347,2023-12-01
101,full,17,0.030718237161636353,0.036199528723955154,2023-12-01
101,full,18,0.02999131754040718,0.03593159839510918,2023-12-01
101,full,19,0.029652390629053116,0.03604913502931595,2023-12-01
101,full,20,0.029013270512223244,0.035494644194841385,2023-12-01
101,full,21,0.028996922075748444,0.035608548671007156,2023-12-01
101,full,22,0.028463928028941154,0.03584878519177437,2023-12-01
101,full,23,0.02818232774734497,0.03564313426613808,2023-12-01
101,full,24,0.028199290856719017,0.035463765263557434,2023-12-01
101,full,25,0.027229908853769302,0.03514603525400162,2023-12-01
101,full,26,0.027126213535666466,0.034717053174972534,2023-12-01
101,full,27,0.02680158242583275,0.034539129585027695,2023-12-01
101,full,28,0.026233844459056854,0.03506636247038841,2023-12-01
101,full,29,0.0262907687574625,0.0351855605840683,2023-12-01
101,full,30,0.025863485410809517,0.03411940485239029,2023-12-01
101,full,31,0.025451453402638435,0.03444719687104225,2023-12-01
101,full,32,0.025278162211179733,0.034738555550575256,2023-12-01
101,full,33,0.025106430053710938,0.034449126571416855,2023-12-01
101,full,34,0.02461930923163891,0.03482987359166145,2023-12-01
101,full,35,0.024713357910513878,0.03510712459683418,2023-12-01
101,full,36,0.024110419675707817,0.03498910367488861,2023-12-01
101,full,37,0.023919548839330673,0.0346510075032711,2023-12-01
101,full,38,0.023901410400867462,0.03521234542131424,2023-12-01
101,full,39,0.0234514232724905,0.03453785553574562,2023-12-01
101,full,40,0.023201877251267433,0.0345582515001297,2023-12-01
101,full,41,0.02351728081703186,0.0338585190474987,2023-12-01
101,full,42,0.0231728907674551,0.03551525995135307,2023-12-01
101,full,43,0.02314864844083786,0.034932028502225876,2023-12-01
101,full,44,0.02255949378013611,0.0344080924987793,2023-12-01
101,full,45,0.02225465700030327,0.03567373380064964,2023-12-01
101,full,46,0.022176505997776985,0.03496771678328514,2023-12-01
101,full,47,0.022077547386288643,0.03586232289671898,2023-12-01
101,full,48,0.022337403148412704,0.03452645242214203,2023-12-01
101,full,49,0.02167000249028206,0.0358068086206913,2023-12-01
101,full,50,0.022032480686903,0.035736411809921265,2023-12-01
101,full,51,0.021472280845046043,0.0342179499566555,2023-12-01
101,full,52,0.021904852241277695,0.036708030849695206,2023-12-01
101,full,53,0.021473834291100502,0.03528343141078949,2023-12-01
303,full,1,0.10805108398199081,0.06390687078237534,2023-12-01
303,full,2,0.05851010978221893,0.0520738810300827,2023-12-01
303,full,3,0.04791010543704033,0.04827401414513588,2023-12-01
303,full,4,0.04460525140166283,0.04520292207598686,2023-12-01
303,full,5,0.04157495126128197,0.04292362928390503,2023-12-01
303,full,6,0.03993982821702957,0.04648056998848915,2023-12-01
303,full,7,0.03833090141415596,0.0427718460559845,2023-12-01
303,full,8,0.03738577291369438,0.04068658873438835,2023-12-01
303,full,9,0.036299411207437515,0.03976475074887276,2023-12-01
303,full,10,0.0354883037507534,0.03779358044266701,2023-12-01
303,full,11,0.034387871623039246,0.036964528262615204,2023-12-01
303,full,12,0.03355548158288002,0.03727224841713905,2023-12-01
303,full,13,0.03339176997542381,0.03806765750050545,2023-12-01
303,full,14,0.032626401633024216,0.037740230560302734,2023-12-01
303,full,15,0.032036662101745605,0.035547852516174316,2023-12-01
303,full,16,0.03150339797139168,0.03646441549062729,2023-12-01
303,full,17,0.0314190648496151,0.034709032624959946,2023-12-01
303,full,18,0.030758976936340332,0.03600289300084114,2023-12-01
303,full,19,0.030177287757396698,0.035250719636678696,2023-12-01
303,full,20,0.030323436483740807,0.03392946347594261,2023-12-01
303,full,21,0.029028959572315216,0.03418777883052826,2023-12-01
303,full,22,0.02895146608352661,0.034417662769556046,2023-12-01
303,full,23,0.028633110225200653,0.03402476757764816,2023-12-01
303,full,24,0.028492389246821404,0.0337834469974041,2023-12-01
303,full,25,0.02797531709074974,0.03338652849197388,2023-12-01
303,full,26,0.02768809348344803,0.03332752361893654,2023-12-01
303,full,27,0.027284720912575722,0.03298008069396019,2023-12-01
303,full,28,0.027418317273259163,0.033188346773386,2023-12-01
303,full,29,0.026327678933739662,0.03329971060156822,2023-12-01
303,full,30,0.026476336643099785,0.03293804079294205,2023-12-01
303,full,31,0.026052575558423996,0.03312214836478233,2023-12-01
303,full,32,0.025424838066101074,0.03314829617738724,2023-12-01
303,full,33,0.026161713525652885,0.03356795012950897,2023-12-01
303,full,34,0.0258609838783741,0.03322421759366989,2023-12-01
303,full,35,0.02539309300482273,0.033111538738012314,2023-12-01
303,full,36,0.02522980608046055,0.03302570804953575,2023-12-01
303,full,37,0.024890752509236336,0.03255194053053856,2023-12-01
303,full,38,0.024447381496429443,0.03288791701197624,2023-12-01
303,full,39,0.02453162893652916,0.032858919352293015,2023-12-01
303,full,40,0.024100355803966522,0.032791636884212494,2023-12-01
303,full,41,0.023831846192479134,0.03223276138305664,2023-12-01
303,full,42,0.023599863052368164,0.03354458138346672,2023-12-01
303,full,43,0.023442132398486137,0.032887715846300125,2023-12-01
303,full,44,0.023326486349105835,0.032938748598098755,2023-12-01
303,full,45,0.023233884945511818,0.032857682555913925,2023-12-01
303,full,46,0.02288793958723545,0.03322983905673027,2023-12-01
303,full,47,0.0226760134100914,0.03332044556736946,2023-12-01
303,full,48,0.022628050297498703,0.033189285546541214,2023-12-01
303,full,49,0.02271535061299801,0.03286771848797798,2023-12-01
303,full,50,0.022341541945934296,0.03307702764868736,2023-12-01
303,full,51,0.022439660504460335,0.03305831551551819,2023-12-01
303,full,52,0.021819544956088066,0.03284688666462898,2023-12-01
303,full,53,0.021746395155787468,0.03395754098892212,2023-12-01
707,full,1,0.09736756235361099,0.0657067522406578,2023-12-01
707,full,2,0.05780797079205513,0.052432671189308167,2023-12-01
707,full,3,0.04794517904520035,0.04758067801594734,2023-12-01
707,full,4,0.04355568811297417,0.045166950672864914,2023-12-01
707,full,5,0.041236959397792816,0.043242502957582474,2023-12-01
707,full,6,0.03904158994555473,0.041302088648080826,2023-12-01
707,full,7,0.037471704185009,0.04004273936152458,2023-12-01
707,full,8,0.036323849111795425,0.039706289768218994,2023-12-01
707,full,9,0.035321470350027084,0.03884587064385414,2023-12-01
