model_name,slice_dimension,slice_value,rows,WAPE,Bias
EXTRA_TREES_RESPONSIVE,demand_band,Q2,231,0.17489391981235541,-0.031140613344950198
EXTRA_TREES_RESPONSIVE,demand_band,Q3,230,0.1377541212626245,-0.020379925942038867
EXTRA_TREES_RESPONSIVE,demand_band,Q4,230,0.12851804627005511,-0.01908452607942853
EXTRA_TREES_RESPONSIVE,demand_band,Q5,231,0.09080203783909607,0.017405983726098424
LIGHTGBM,demand_band,Q1,230,16.23540204498193,-15.999394872034308
LIGHTGBM,demand_band,Q2,230,0.1781095793456925,-0.034210676352141284
LIGHTGBM,demand_band,Q3,231,0.13568494365149467,-0.016934705372612133
LIGHTGBM,demand_band,Q4,230,0.13428492889774354,-0.0017116025263393302
LIGHTGBM,demand_band,Q5,231,0.10315162268154816,0.026146867387311624
MOVING_AVERAGE_3,demand_band,Q1,231,16.321405222412977,-16.08999485509869
MOVING_AVERAGE_3,demand_band,Q2,230,0.22074371648040447,-0.07361178109359014
MOVING_AVERAGE_3,demand_band,Q3,230,0.21487661769502814,-0.08731462112129976
MOVING_AVERAGE_3,demand_band,Q4,231,0.26290989276493143,-0.1251247707660805
MOVING_AVERAGE_3,demand_band,Q5,230,0.12016117282422872,-0.02761731441940731
SEASONAL_NAIVE,demand_band,Q1,231,16.43547522569417,-16.15540304627064
SEASONAL_NAIVE,demand_band,Q2,230,0.25818717908108213,-0.0637720501855884
SEASONAL_NAIVE,demand_band,Q3,231,0.2238564924220282,-0.050051271216949446
SEASONAL_NAIVE,demand_band,Q4,230,0.23150602218276473,-0.07917596315969476
SEASONAL_NAIVE,demand_band,Q5,230,0.12169999111789266,-0.013812095346363839
CONV1D_ATTENTION_GLOBAL,abc_class,A,348,0.16184007757353974,0.013805204721295988
CONV1D_ATTENTION_GLOBAL,abc_class,B,204,0.1547354213195863,0.06876011358181443
CONV1D_ATTENTION_GLOBAL,abc_class,C,408,0.13932850365044233,0.028718221977446227
CROSTON_SBA,abc_class,A,348,0.1807212734082521,0.0712332690302945
CROSTON_SBA,abc_class,B,204,0.2055645973082169,0.1349309147445371
CROSTON_SBA,abc_class,C,408,0.18143910420980913,0.109420302377027
ETS_A_N_A,abc_class,A,348,0.160312757936169,-0.03003280819075481
ETS_A_N_A,abc_class,B,204,0.16961159318317703,0.0680074701345342
ETS_A_N_A,abc_class,C,408,0.1351578317997458,-0.013168388772885942
EXTRA_TREES,abc_class,A,348,0.14341517934766204,-0.04703742203332256
EXTRA_TREES,abc_class,B,204,0.11585827158204443,0.013013469905393501
EXTRA_TREES,abc_class,C,408,0.10089542709498818,-0.019556433310345876
EXTRA_TREES_DAMPED_TREND,abc_class,A,348,0.1484378613123165,-0.03364139656843552
EXTRA_TREES_DAMPED_TREND,abc_class,B,204,0.11805285576901127,0.018849152751933277
EXTRA_TREES_DAMPED_TREND,abc_class,C,408,0.12828709402460461,-0.03206038317228648
EXTRA_TREES_RESPONSIVE,abc_class,A,348,0.14697041642984965,-0.04745965558725455
EXTRA_TREES_RESPONSIVE,abc_class,B,204,0.11677814807812713,0.01504465536338259
EXTRA_TREES_RESPONSIVE,abc_class,C,408,0.10027968407997333,-0.01719024672725544
LIGHTGBM,abc_class,A,348,0.16112240237171338,-0.047622648946745214
LIGHTGBM,abc_class,B,204,0.13186573051936298,0.02726658578187439
LIGHTGBM,abc_class,C,408,0.1025246821074254,0.018442816695194066
MOVING_AVERAGE_3,abc_class,A,348,0.1771696603129994,-0.09728702124794693
MOVING_AVERAGE_3,abc_class,B,204,0.14640548460710498,-0.03644968906093504
MOVING_AVERAGE_3,abc_class,C,408,0.16595769311532532,-0.07585826157808281
SEASONAL_NAIVE,abc_class,A,348,0.18280583774052644,-0.09061854977532137
SEASONAL_NAIVE,abc_class,B,204,0.16964853764646054,-0.004406865448893332
SEASONAL_NAIVE,abc_class,C,408,0.13418176955719324,-0.042686611696517544
CONV1D_ATTENTION_GLOBAL,fms_class,F,792,0.12953667528387136,0.05552637637324045
CONV1D_ATTENTION_GLOBAL,fms_class,M,60,0.20149014685671549,-0.015034833321226496
CONV1D_ATTENTION_GLOBAL,fms_class,S,108,0.26088251467254664,-0.102308892899246
CROSTON_SBA,fms_class,F,792,0.16046544228461945,0.12261685948743771
CROSTON_SBA,fms_class,M,60,0.23014244934894634,0.02824822596648793
CROSTON_SBA,fms_class,S,108,0.3000045194014093,-0.02448157602344683
ETS_A_N_A,fms_class,F,792,0.12667841262484278,0.01479220480167013
ETS_A_N_A,fms_class,M,60,0.21815549777056062,-0.047562240857448146
ETS_A_N_A,fms_class,S,108,0.26991418127492,-0.10990873898491114
EXTRA_TREES,fms_class,F,792,0.09478135827704262,0.0092625395505789
EXTRA_TREES,fms_class,M,60,0.19711177088219017,-0.11432594027395919
EXTRA_TREES,fms_class,S,108,0.2535405645144956,-0.18474473459639978
EXTRA_TREES_DAMPED_TREND,fms_class,F,792,0.10570893025731928,0.01718619690983178
EXTRA_TREES_DAMPED_TREND,fms_class,M,60,0.2128791272795321,-0.1249721004609222
EXTRA_TREES_DAMPED_TREND,fms_class,S,108,0.26547371160455907,-0.19365783301052933
EXTRA_TREES_RESPONSIVE,fms_class,F,792,0.0970090905476355,0.010152621907748495
EXTRA_TREES_RESPONSIVE,fms_class,M,60,0.1967915210593439,-0.11671995087329418
EXTRA_TREES_RESPONSIVE,fms_class,S,108,0.25423155399183706,-0.18154217848183538
LIGHTGBM,fms_class,F,792,0.10773150198491248,0.02281875470070938
LIGHTGBM,fms_class,M,60,0.19889857591895033,-0.07633189474607444
LIGHTGBM,fms_class,S,108,0.27018838681640883,-0.184658226946563
MOVING_AVERAGE_3,fms_class,F,792,0.1377169792803798,-0.05044010173267049
MOVING_AVERAGE_3,fms_class,M,60,0.26521090263326974,-0.19225959508540602
MOVING_AVERAGE_3,fms_class,S,108,0.2786484662552405,-0.17255745712093637
SEASONAL_NAIVE,fms_class,F,792,0.13835617054276061,-0.030651911552719867
