dataset,model,split,horizon,n_obs,WAPE,RMSE,Bias,MASE_mean,wQL50,under_forecast_rate
B,CATBOOST,val,0,7416.0,0.1261767601193946,5665.249396463845,-1737.8276279450035,1.1030207967105516,1937.9904071700344,0.6043689320388349
B,CATBOOST,val,1,618.0,0.1232354008748493,5405.379518717936,-2397.3740263481263,1.044599339399955,1892.8131019786847,0.6941747572815534
B,CATBOOST,val,2,618.0,0.133944600100195,5995.596900878777,-2669.7999665562093,1.1326663605427028,2057.2992192918405,0.6877022653721683
B,CATBOOST,val,3,618.0,0.1384734384030203,6291.25183572199,-2810.3780880559216,1.168745491640661,2126.85913807716,0.6812297734627831
B,CATBOOST,val,4,618.0,0.1385260812963624,6276.100421262002,-2562.0939987573265,1.1673042651907677,2127.667697610675,0.6731391585760518
B,CATBOOST,val,5,618.0,0.1441090038529421,6549.290041662032,-2985.3255355524448,1.220899829403464,2213.4176435467307,0.6731391585760518
B,CATBOOST,val,6,618.0,0.1074641251468449,4774.957508289039,-576.1230608401972,0.9629223705203882,1650.5768847800157,0.5307443365695793
B,CATBOOST,val,7,618.0,0.1169147472163736,5012.723926954127,137.28336915838017,1.1237901873758247,1795.7321011225918,0.4223300970873786
B,CATBOOST,val,8,618.0,0.1108870055154147,4753.7679737795,257.540182298254,1.0525658336649386,1703.1500314743987,0.4466019417475728
B,CATBOOST,val,9,618.0,0.1167087706186332,5125.226285612868,-1129.9107045884566,1.037416593540149,1792.5684387322688,0.580906148867314
B,CATBOOST,val,10,618.0,0.1121549853964007,5037.090200755669,-1304.8824141834136,0.9924759614711548,1722.6253519970533,0.5922330097087378
B,CATBOOST,val,11,618.0,0.141166372409404,6332.090931021858,-2379.287360563331,1.255357271784212,2168.220798232129,0.616504854368932
B,CATBOOST,val,12,618.0,0.1305365906022947,5987.594215708023,-2433.5799313512507,1.077506055992404,2004.9544791968704,0.6537216828478964
B,ETS,test,0,1236.0,0.1283093764943507,5949.9718923552355,-276.49045589969603,1.1221797827355988,1981.2322972564432,0.5169902912621359
B,ETS,test,1,103.0,0.1457264242106433,6226.465246141459,472.2635428007396,1.247888212139394,2204.639893916374,0.4757281553398058
B,ETS,test,2,103.0,0.1082443466145202,5016.838475111687,-638.603011107205,0.9679413939377935,1662.3604513005218,0.5533980582524272
B,ETS,test,3,103.0,0.1211590084230569,5349.037345441093,365.12661544969166,1.1642350289339587,1936.873787274146,0.4757281553398058
B,ETS,test,4,103.0,0.1337236094415176,6123.004057604192,-1242.0858405530885,1.0562134056449128,2036.2535427399805,0.5922330097087378
B,ETS,test,5,103.0,0.1243603716729706,5234.028087650914,120.58511549023734,1.042293350811179,1799.701040472508,0.4951456310679611
B,ETS,test,6,103.0,0.1299536265583409,5503.29289160595,-600.1622030433874,1.0836380618150374,1910.9750178117251,0.5145631067961165
B,ETS,test,7,103.0,0.1299056669032918,5710.515633348263,-714.1453799813262,1.0814374548083798,1936.5517028899185,0.5242718446601942
B,ETS,test,8,103.0,0.1431533866582,6552.096642605423,432.48282020822336,1.208695164908233,2157.7364037926422,0.4757281553398058
