Material Code,,Description,Supply Plan,,,,,Buffer days, future average ,lead time,lead time months,EX,variance (demand),Variance lead time demand,ROP,ROP in days,Buffer stock,,Maximum stock,Stacking quantity,MOQ,Difference,Order Delivery,Order Quantity,,Pallet requirement,Pallet requirement,,,Issuing,,,,,,
,,,Jul SP,Aug SP,Sep SP,Oct SP,Nov SP,,,,,,,,,,,Buffer Days,,,,,,,,,,,,,,,,,,
100026,Bags,CETYL ALCOHOL," 1,446 "," 1,039 "," 1,336 "," 1,503 "," 1,025 ", 30 ," 1,809 ",60,2," 3,617.80 ",50777.85208,522.6320138," 4,140.44 ", 68.67 ,656.4767979, 10.89 ," 2,465 ",625,1000, (809), 30 ," 1,809 ", (809), 3.94 , 4 ,500,1232689.583,1596,,,,,,
100105,Bags,STEARIC ACID," 1,390 ", 983 ," 1,248 "," 1,448 ", 959 , 30 ," 1,250 ",30,1," 1,250.07 ",51224.38774,371.1780075," 1,621.25 ", 38.91 ,466.2357899, 11.19 ," 1,716 ",500,1000, (250), 30 ," 1,250 ", (250), 3.43 , 4 ,270,463401.8048,1412,,,,,,
100171,Drum,OPTAMINT 293250," 1,801 "," 1,657 "," 1,197 "," 1,387 "," 1,470 ", 30 ," 1,469 ",60,2," 2,938.92 ",55190.73609,544.8687985," 3,483.79 ", 71.12 ,684.4083689, 13.97 ," 1,419 ",720,25," (1,444)", 15 , 735 , (710), 1.97 , 2 ,6134.43,8705604.855,891,,,,,,
100835,Drum,SANDALWOOD CO 13490T," 1,174 ", 648 , 969 , 905 , 926 , 30 , 916 ,105,3.5," 3,206.09 ",35188.62149,575.5446179," 3,781.63 ", 123.85 ,722.9401908, 23.68 ," 1,639 ",450,50, (866), 30 , 916 , (866), 3.64 , 4 ,3075.93,5041342.907,74,,,,,,
100913,Bags,SAP SA 60 N  TYPE II," 3,030 "," 1,168 "," 2,579 "," 2,130 "," 2,545 ", 30 ," 2,674 ",45,1.5," 4,010.95 ",495022.6652,1413.194764," 5,424.15 ", 60.86 ,1775.110496, 19.92 ," 4,449 ",1000,2000, (674), 30 ," 2,674 ", (674), 4.45 , 5 ,386.82,1720992.433,26,,,,,,
100018,Drum,BRIQUEST ADPA," 2,725 "," 1,534 "," 1,994 "," 1,900 "," 1,598 ", 30 ," 2,008 ",60,2," 4,015.33 ",225639.4975,1101.707758," 5,117.04 ", 76.46 ,1383.852428, 20.68 ," 3,392 ",1000,1000," (1,008)", 30 ," 2,008 "," (1,008)", 3.39 , 4 ,410.34,1391675.884,181,,,,,,
100043,Bags,EMPILAN GMS SE 40(CAFLOAN)," 1,365 "," 1,002 "," 1,326 "," 1,411 "," 1,030 ", 30 ," 1,241 ",75,2.5," 3,102.51 ",38068.7693,505.9391315," 3,608.45 ", 87.23 ,635.5089091, 15.36 ," 1,636 ",625,1000, (241), 15 , 621 , 379 , 2.62 , 3 ,743.28,1215641.062,1125,,,,,,
100093,Drum,SILICON," 1,451 "," 1,038 "," 1,353 "," 1,527 "," 1,045 ", 30 ," 1,297 ",30,1," 1,296.97 ",52426.03979,375.5064269," 1,672.48 ", 38.69 ,471.6727069, 10.91 ," 1,769 ",800,1000, (297), 30 ," 1,297 ", (297), 2.21 , 3 ,1010.77,1787695.976,1379,,,,,,
100097,Bags,S.M.F.P.," 1,862 "," 1,727 "," 1,173 "," 1,364 "," 1,445 ", 30 ," 1,484 ",75,2.5," 3,710.25 ",77503.88496,721.8975845," 4,432.14 ", 89.59 ,906.7737951, 18.33 ," 1,649 ",1000,25," (1,459)", 15 , 742 , (717), 1.65 , 2 ,992.72,1636819.774,946,,,,,,
101295,Reel,RELEASE PAPER WINGS 65mm - WHITE," 1,275 ", 489 ," 1,094 ", 899 ," 1,080 ", 30 ," 1,134 ",60,2," 2,268.05 ",89278.44968,692.9982948," 2,961.05 ", 78.33 ,870.4734678, 23.03 ," 1,870 ",540,1000, (134), 30 ," 1,000 ", -   , 3.46 , 4 ,469.2,877626.1511,43,,,,,,
101468,Reel,NEW RL.PAPER PRNTD. CENTER 50mm - PINK," 2,087 ", 848 ," 1,857 "," 1,438 "," 1,847 ", 30 ," 1,980 ",65,2.166666667," 4,289.09 ",238461.8706,1178.825094," 5,467.92 ", 82.86 ,1480.719325, 22.44 ," 3,460 ",900,500," (1,480)", 30 ," 1,980 "," (1,480)", 3.84 , 4 ,504.89,1747070.914,39,,,,,,
101470,Reel,PRINTED PE POUCH 290mm - SEA GREEN," 1,214 ", 484 ," 1,020 ", 846 , 965 , 30 ," 1,094 ",65,2.166666667," 2,371.36 ",73224.64995,653.233654," 3,024.60 ", 82.91 ,820.5251996, 22.49 ," 1,915 ",600,500, (594), 30 ," 1,094 ", (594), 3.19 , 4 ,804.59,1540790.138,23,,,,,,
101488,Drum,ROSE & CARE MOD 434031 ( R )," 2,190 "," 1,757 "," 1,335 ", 881 , 881 , 30 ," 2,918 ",50,1.666666667," 4,863.78 ",323638.7126,1204.476845," 6,068.26 ", 62.38 ,1512.940427, 15.55 ," 2,972 ",800,200," (2,718)", 15 ," 1,459 "," (1,259)", 3.72 , 4 ,1562.55,4644014.12,#N/A,,,,,,
101496,Bags,DHARIYAL CMC - IG 3040," 1,230 "," 1,142 ", 772 , 898 , 951 , 30 , 979 ,60,2," 1,958.00 ",34420.027,430.2931666," 2,388.29 ", 73.19 ,540.4901971, 16.56 ," 1,540 ",625,1000, 21 , 30 ," 1,000 ", -   , 2.46 , 3 ,810.11,1247966.514,951,,,,,,
101517,Bags,ABBRASIVE SILICA ( ZEODENT 113 )," 1,841 "," 2,194 "," 1,307 "," 1,702 "," 1,702 ", 30 ," 1,991 ",60,2," 3,982.84 ",101716.7062,739.6989292," 4,722.54 ", 71.14 ,929.1340208, 14.00 ," 2,921 ",1000,1500, (491), 30 ," 1,991 ", (491), 2.92 , 3 ,197.52,576868.3223,371,,,,,,
101637,Drum,PINK PLUM IMP 4 EAE 36544/00," 1,277 "," 1,015 ", 833 , 576 , 769 , 30 ," 1,032 ",75,2.5," 2,579.36 ",70428.62523,688.1584672," 3,267.52 ", 95.01 ,864.3941723, 25.13 ," 1,380 ",500,100, (932), 15 , 516 , (416), 2.76 , 3 ,2807.79,3875498.892,94,,,,,,
100035,Bags,CLIMBAZOLE, 296 , 252 , 221 , 258 , 232 , 30 , 250 ,60,2, 500.86 ,829.5694817,66.80134846, 567.66 , 68.00 ,83.90901087, 10.05 , 334 ,200,100, (150), 30 , 250 , (150), 1.67 , 2 ,4231.81,1414855.145,1016,,,,,,
100044,Drum,EMANON PCSA," 1,073 ", 890 , 765 , 844 , 844 , 30 ," 1,406 ",60,2," 2,812.93 ",13316.11212,267.6378716," 3,080.57 ", 65.71 ,336.1792777, 7.17 ," 1,743 ",600,120," (1,286)", 30 ," 1,406 "," (1,286)", 2.90 , 3 ,545,949742.0812,769,,,,,,
100069,Drum,METHYL PARABEN, 291 , 217 , 219 , 240 , 193 , 30 , 754 ,60,2," 1,508.86 ",1379.967706,86.15754338," 1,595.02 ", 63.43 ,108.2222801, 4.30 , 485 ,225,100, (654), 15 , 377 , (277), 2.16 , 3 ,1193.27,579257.5556,2957,,,,,,
100118,Bags,TRILON BD ( DISODIUM EDTA )," 1,158 ", 684 , 840 , 798 , 690 , 30 ," 1,379 ",30,1," 1,379.37 ",37456.21095,317.3991572," 1,696.77 ", 36.90 ,398.6843072, 8.67 ," 1,778 ",625,800, (579), 30 ," 1,379 ", (579), 2.84 , 3 ,805.68,1432543.115,2068,,,,,,
100119,Bags,TRI SODIUM ORTHOPHOSPHATE, 989 , 918 , 625 , 724 , 767 , 30 , 789 ,75,2.5," 1,972.60 ",21712.08656,382.0890865," 2,354.69 ", 89.53 ,479.9411696, 18.25 ," 1,480 ",625,1000, 211 , 30 ," 1,000 ", -   , 2.37 , 3 ,433.34,641317.7064,943,,,,,,
