case_id,algorithm,distance_m,expanded_nodes,runtime_ms,optimal_distance_match
150,dijkstra,236.0,745,0.526042,True
150,astar,236.0,100,0.094917,True
151,dijkstra,230.0,726,0.519666,True
151,astar,230.0,563,0.625041,True
152,dijkstra,271.0,860,0.6535,True
152,astar,271.0,526,0.676083,True
153,dijkstra,119.0,343,0.253709,True
153,astar,119.0,50,0.049625,True
154,dijkstra,200.0,625,0.455,True
154,astar,200.0,376,0.45675,True
155,dijkstra,283.0,903,0.661,True
155,astar,283.0,399,0.438209,True
156,dijkstra,121.0,357,0.260917,True
156,astar,121.0,206,0.237959,True
157,dijkstra,212.0,655,0.497625,True
157,astar,212.0,325,0.483834,True
158,dijkstra,147.0,448,0.324708,True
158,astar,147.0,121,0.137875,True
159,dijkstra,156.0,477,0.342333,True
159,astar,156.0,424,0.4405,True
